time (ms)	x_pos(mm)	signal	error	trash	trash2
290 	1.47870005E-1	1.86951404E+1	1.28397501E+0	NaN	0.00000000E+0
290 	-2.79000000E-3	2.22066086E+1	1.49188983E+0	NaN	0.00000000E+0
290 	-3.01320045E-1	1.57971198E+1	1.01530686E+0	NaN	0.00000000E+0
290 	6.02640360E-1	5.82103552E+0	5.53086171E-1	NaN	0.00000000E+0
290 	1.35315408E+0	2.68967149E-1	7.88539410E-2	NaN	0.00000000E+0
290 	-1.35315408E+0	1.92498966E-1	4.62270979E-2	NaN	0.00000000E+0
290 	-4.47795148E-1	6.92400240E+0	2.35876833E-1	NaN	0.00000000E+0
290 	9.02566210E-1	1.05161266E+0	2.90722023E-1	NaN	0.00000000E+0
290 	-1.05183192E+0	6.36963802E-1	2.30750427E-1	NaN	0.00000000E+0
290 	3.02715046E-1	1.49830497E+1	7.60406803E-1	NaN	0.00000000E+0
290 	-9.01171205E-1	1.55783621E+0	3.43432676E-1	NaN	0.00000000E+0
290 	-1.20109785E+0	5.34595521E-1	1.76843450E-1	NaN	0.00000000E+0
290 	-7.47720688E-1	2.33588186E+0	4.45621205E-1	NaN	0.00000000E+0
490 	2.79000000E-3	1.66436646E+1	1.30455617E+0	NaN	0.00000000E+0
490 	-3.01320045E-1	1.01750819E+1	7.59485995E-1	NaN	0.00000000E+0
490 	7.53300704E-1	1.32094067E+0	2.92217173E-1	NaN	0.00000000E+0
490 	-1.35175907E+0	1.75263120E-1	7.97854404E-2	NaN	0.00000000E+0
490 	-1.04764689E+0	3.43617710E-1	1.31513500E-1	NaN	0.00000000E+0
490 	4.53375153E-1	5.06635816E+0	8.60388671E-1	NaN	0.00000000E+0
490 	-4.53375153E-1	4.93838508E+0	2.95892621E-1	NaN	0.00000000E+0
490 	6.02640360E-1	3.28956360E+0	1.31149321E-1	NaN	0.00000000E+0
490 	-6.01245358E-1	2.53773537E+0	3.55194203E-1	NaN	0.00000000E+0
490 	-9.01171205E-1	7.28723141E-1	1.26792098E-1	NaN	0.00000000E+0
490 	-1.49265005E-1	1.37968546E+1	1.25401319E+0	NaN	0.00000000E+0
490 	1.35175907E+0	1.29176439E-1	3.75259806E-2	NaN	0.00000000E+0
490 	-7.51905700E-1	1.58860314E+0	2.78395650E-1	NaN	0.00000000E+0
490 	1.53450006E-1	1.36034677E+1	1.06737251E+0	NaN	0.00000000E+0
490 	1.05322692E+0	2.35420198E-1	1.31872612E-1	NaN	0.00000000E+0
490 	2.97135043E-1	1.09886269E+1	1.74814441E+0	NaN	0.00000000E+0
490 	-1.50102557E+0	3.92856122E-2	1.98804978E-2	NaN	0.00000000E+0
490 	9.01171205E-1	1.16723651E+0	2.16142019E-1	NaN	0.00000000E+0
490 	-1.20249286E+0	2.91057832E-1	1.96289508E-1	NaN	0.00000000E+0
490 	1.20249286E+0	4.63283145E-1	1.70360553E-1	NaN	0.00000000E+0
490 	1.50242058E+0	2.14350054E-1	1.00114029E-1	NaN	0.00000000E+0
690 	-1.05183192E+0	1.72300232E-1	8.57001315E-2	NaN	0.00000000E+0
690 	7.53300704E-1	1.44659322E+0	2.21337644E-1	NaN	0.00000000E+0
690 	-2.79000000E-3	1.28576935E+1	9.98797318E-1	NaN	0.00000000E+0
690 	1.20249286E+0	1.97180089E-1	8.85712053E-2	NaN	0.00000000E+0
690 	2.98530044E-1	8.18685843E+0	7.82503921E-1	NaN	0.00000000E+0
690 	6.02640360E-1	4.12571309E+0	7.76228451E-1	NaN	0.00000000E+0
690 	9.02566210E-1	9.44495417E-1	8.38218501E-2	NaN	0.00000000E+0
690 	-3.01320045E-1	7.59442465E+0	2.98841057E-1	NaN	0.00000000E+0
690 	-7.53300704E-1	6.86325052E-1	2.16672715E-1	NaN	0.00000000E+0
690 	1.53450006E-1	1.13976171E+1	5.76803386E-1	NaN	0.00000000E+0
690 	-4.51980152E-1	4.01805524E+0	6.10541159E-1	NaN	0.00000000E+0
690 	-9.02566210E-1	8.92453572E-1	3.50011234E-1	NaN	0.00000000E+0
690 	-1.20109785E+0	7.25991902E-2	2.85465485E-2	NaN	0.00000000E+0
690 	4.53375153E-1	6.59049554E+0	1.33954307E+0	NaN	0.00000000E+0
